Publisher,Type,Specialization,Email,Website,Submission Guidelines,Priority,Notes
Archipelago Books,Nonprofit,World literature in translation,info@archipelagobooks.org,https://archipelagobooks.org,Accepts proposals via email,HIGH,PERFECT FIT: Published Senegalese/African authors in translation
Deep Vellum Publishing,Nonprofit,International literature / socially engaged,marketing@deepvellum.org,https://www.deepvellum.org,Queries to marketing email,HIGH,EXCELLENT FIT: Dallas-based nonprofit. Published African translations
Iskanchi Press,Independent,African perspectives and diaspora,info@iskanchi.com,https://iskanchi.com,Accepts queries via email,HIGH,PERFECT FIT: Specifically champions African literature
Open Letter Books,University Press,Literary translation exclusively,contact@openletterbooks.org,https://www.openletterbooks.org,Reading period opens June,HIGH,Prestigious. Part of Three Percent initiative
Two Lines Press,Nonprofit,Literary translation / overlooked voices,info@twolinespress.com,https://www.twolines.com,General inquiries via email,HIGH,San Francisco-based. Strong mission alignment
University of Georgia Press,University Press,African Language Literatures series,books@uga.edu,https://ugapress.org,Queries to books@uga.edu,HIGH,PERFECT FIT: Has dedicated African Language Literatures series
Transit Books,Nonprofit,International & American literature,submissions through website,https://www.transitbooks.org,See website guidelines,MEDIUM,First book was Ugandan epic Kintu
New Vessel Press,Independent,Exclusively literature in translation,info@newvesselpress.com,https://newvesselpress.com,Proposals via email,MEDIUM,Prefers complete manuscripts - you have this ready!
Tilted Axis Press,Independent,Global Majority / experimental fiction,info@tiltedaxispress.com,https://www.tiltedaxispress.com,Contact via email,MEDIUM,UK-based. Black Atlantic focus includes African diaspora
Comma Press,Nonprofit,Short stories and translated fiction,ra.page@commapress.co.uk,https://commapress.co.uk,Query founder Ra Page,MEDIUM,UK nonprofit. Also publishes translated novels
Guernica Editions,Independent,Cross-cultural fiction / world literature,michaelmirolla@guernicaeditions.com,https://guernicaeditions.com,Email manuscripts to Michael Mirolla,MEDIUM,Canadian. World series for translated literature
Arsenal Pulp Press,Independent,BIPOC & LGBTQ authors / translations,submissions@arsenalpulp.com,https://arsenalpulp.com,Proposals by email (PDF/Word),MEDIUM,Canadian. Simultaneous submissions allowed
Balestier Press,Independent,Cross-cultural diversity / translations,editor@balestier.com,https://balestierpress.com,Synopsis + sample to editor,MEDIUM,Primarily Asian but welcomes cross-cultural diversity
Feminist Press at CUNY,Nonprofit,Feminist perspectives / international women,info@feministpress.org,https://www.feministpress.org,Mission-aligned proposals via email,MEDIUM,Social critique angle could fit
Yale University Press: Margellos,University Press,International literature in translation,worldrepublicofletters@yale.edu,https://yalebooks.yale.edu,Submit proposal through website,MEDIUM,Very prestigious. PEN/Heim award helps credibility
Restless Books,Independent,International literature,editorial@restlessbooks.org,https://restlessbooks.org,Query first via email,MEDIUM,Brooklyn. Published first Malagasy novel in English
Peirene Press,Independent,European novellas in translation,submissions@peirenepress.com,https://www.peirenepress.com,Accepts translator pitches,LOW,UK-based. European focus - less ideal
Dedalus Books,Independent,European fiction in translation,info@dedalusbooks.com,https://www.dedalusbooks.com,Queries and proposals by email,LOW,European focus but worth trying
Coimpress,Nonprofit,Transgressive poetry/prose,info@coimpress.com,https://coimpress.com,Submit via Submittable,LOW,Very long response time (24 months)
New Directions,Independent,Modernist & contemporary literature,editorial@ndbooks.com,https://www.ndbooks.com,Brief queries only,LOW,Prestigious but no unsolicited manuscripts
